
2022-12-16 16:11:41,968 | uvicorn.error | [WARNING] | StatReload detected changes in 'service\camera_viewer.py'. Reloading...
2022-12-16 16:11:42,520 | BufferManager | [INFO] | INIT BUFFER output_face_reg as TQueue
2022-12-16 16:11:42,565 | uvicorn.error | [INFO] | Started server process [6816]
2022-12-16 16:11:42,565 | uvicorn.error | [INFO] | Waiting for application startup.
2022-12-16 16:11:42,565 | uvicorn.error | [INFO] | Application startup complete.
2022-12-16 16:12:02,892 | BufferManager | [INFO] | INIT BUFFER d3ecebe2c55c58ba3b4e1d841022af10422f2549 as TQueue
2022-12-16 16:12:08,383 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 32] Broken pipe
2022-12-16 16:12:08,385 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,386 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,388 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,389 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,390 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,391 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,393 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,394 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,395 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,396 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,397 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,398 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,400 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,401 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,402 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,403 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,404 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,405 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,407 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,408 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,409 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,410 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,412 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,413 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,414 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,415 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,416 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,417 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,419 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,420 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,422 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,423 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,425 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,427 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,428 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,429 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,430 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,431 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,432 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,434 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,435 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,436 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,437 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,438 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,439 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,440 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,442 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,443 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,444 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,446 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,447 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,448 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,449 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,450 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,451 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,453 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,454 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,455 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,456 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,457 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,459 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,460 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,462 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,463 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,465 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,466 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,468 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,469 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,470 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,471 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,472 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,473 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,475 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,476 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,477 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,478 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,480 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,481 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,482 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,483 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,484 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,486 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,487 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,488 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,489 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,490 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,492 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,493 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
2022-12-16 16:12:08,494 | Streaming | [ERROR] | CANNOT READ FRAME: [Errno 22] Invalid argument
